cc,phage,n_x,mean_od600,sd_od600,S_fraction,SS_fraction,R_fraction,n_y,mean_broad_permissiveness,sd_broad_permissiveness
5,p0006,94,0.4225719858191489,0.16094314624360057,0.43617021276595747,0.5,0.06382978723404255,94,0.15019723084823325,0.5654015591301871
5,p0017,94,0.5397526595531915,0.2932284518548445,0.3829787234042553,0.2765957446808511,0.3404255319148936,94,0.15019723084823325,0.5654015591301871
5,p0017S,94,0.2527386524893617,0.11201125233237447,0.8936170212765957,0.09574468085106383,0.010638297872340425,94,0.15019723084823325,0.5654015591301871
5,p002y,94,0.23381861702127665,0.09133664732353254,0.9361702127659575,0.06382978723404255,0.0,94,0.15019723084823325,0.5654015591301871
5,p003p,94,0.22830957443617023,0.09670138911224793,0.9361702127659575,0.06382978723404255,0.0,94,0.15019723084823325,0.5654015591301871
5,p0040,94,0.6305890957446808,0.24327249820142588,0.2553191489361702,0.32978723404255317,0.4148936170212766,94,0.15019723084823325,0.5654015591301871
5,p11,94,0.799590425531915,0.2595962746676507,0.1276595744680851,0.20212765957446807,0.6702127659574468,94,0.15019723084823325,0.5654015591301871
5,pyo,94,0.20558377658510638,0.09684929257705448,0.9468085106382979,0.05319148936170213,0.0,94,0.15019723084823325,0.5654015591301871
59,p0006,4,0.551125,0.27569158341644506,0.5,0.25,0.25,4,-0.30568691509321205,0.5813909385408991
59,p0017,4,0.66825,0.28689475736512265,0.25,0.25,0.5,4,-0.30568691509321205,0.5813909385408991
59,p0017S,4,0.361375,0.20138410024958114,0.75,0.25,0.0,4,-0.30568691509321205,0.5813909385408991
59,p002y,4,0.2896,0.10731532975302271,0.75,0.25,0.0,4,-0.30568691509321205,0.5813909385408991
59,p003p,4,0.284125,0.09441180628854988,1.0,0.0,0.0,4,-0.30568691509321205,0.5813909385408991
59,p0040,4,0.6366749999999999,0.08039466711169342,0.0,0.75,0.25,4,-0.30568691509321205,0.5813909385408991
59,p11,4,0.7971499999999999,0.12311047883913051,0.0,0.25,0.75,4,-0.30568691509321205,0.5813909385408991
59,pyo,4,0.31047222225000004,0.09335107325591314,0.75,0.25,0.0,4,-0.30568691509321205,0.5813909385408991
72,p0006,5,0.7620733333999999,0.1249408623256708,0.0,0.4,0.6,5,-0.5875414374218514,0.4512690429260272
72,p0017,5,0.29162500020000004,0.11457546190657127,0.8,0.2,0.0,5,-0.5875414374218514,0.4512690429260272
72,p0017S,5,0.38478,0.08480078161458443,0.6,0.4,0.0,5,-0.5875414374218514,0.4512690429260272
72,p002y,5,0.3741,0.05634356385160598,0.6,0.4,0.0,5,-0.5875414374218514,0.4512690429260272
72,p003p,5,0.37868,0.0808601728615172,0.8,0.2,0.0,5,-0.5875414374218514,0.4512690429260272
72,p0040,5,0.679915,0.13477796625376123,0.0,0.6,0.4,5,-0.5875414374218514,0.4512690429260272
72,p11,5,1.008375,0.09677145433959336,0.0,0.0,1.0,5,-0.5875414374218514,0.4512690429260272
72,pyo,5,0.300475,0.1212522312422933,0.8,0.2,0.0,5,-0.5875414374218514,0.4512690429260272
8,p0006,59,0.39276723166101696,0.17717761827698436,0.6779661016949152,0.2033898305084746,0.11864406779661017,59,0.10900324844338627,0.6752379607622939
8,p0017,59,0.7446857344576271,0.22422564630392564,0.0847457627118644,0.3050847457627119,0.6101694915254238,59,0.10900324844338627,0.6752379607622939
8,p0017S,59,0.30121920903389826,0.14895967085059578,0.7627118644067796,0.22033898305084745,0.01694915254237288,59,0.10900324844338627,0.6752379607622939
8,p002y,59,0.2586338983050847,0.1207560913330005,0.9322033898305084,0.05084745762711865,0.01694915254237288,59,0.10900324844338627,0.6752379607622939
8,p003p,59,0.2573327683220339,0.12161258671937522,0.9152542372881356,0.06779661016949153,0.01694915254237288,59,0.10900324844338627,0.6752379607622939
8,p0040,59,0.4471809322033898,0.1943764036061409,0.4745762711864407,0.3898305084745763,0.13559322033898305,59,0.10900324844338627,0.6752379607622939
8,p11,59,0.673364406779661,0.2737334794339269,0.1864406779661017,0.2711864406779661,0.5423728813559322,59,0.10900324844338627,0.6752379607622939
8,pyo,59,0.23347363462711868,0.09695829135231826,0.9152542372881356,0.0847457627118644,0.0,59,0.10900324844338627,0.6752379607622939
80,p0006,1,1.001,,0.0,0.0,1.0,1,-2.236146208335545,
80,p0017,1,0.766166667,,0.0,0.0,1.0,1,-2.236146208335545,
80,p0017S,1,0.6609,,0.0,1.0,0.0,1,-2.236146208335545,
80,p002y,1,0.6189,,0.0,1.0,0.0,1,-2.236146208335545,
80,p003p,1,0.7605,,0.0,0.0,1.0,1,-2.236146208335545,
80,p0040,1,0.8638,,0.0,0.0,1.0,1,-2.236146208335545,
80,p11,1,0.8189,,0.0,0.0,1.0,1,-2.236146208335545,
80,pyo,1,0.711666667,,0.0,0.0,1.0,1,-2.236146208335545,
88,p0006,1,0.8483,,0.0,0.0,1.0,1,-1.0902874980854236,
88,p0017,1,0.188833333,,1.0,0.0,0.0,1,-1.0902874980854236,
88,p0017S,1,0.2337,,1.0,0.0,0.0,1,-1.0902874980854236,
88,p002y,1,0.5417,,0.0,1.0,0.0,1,-1.0902874980854236,
88,p003p,1,0.5919,,0.0,1.0,0.0,1,-1.0902874980854236,
88,p0040,1,0.5979,,0.0,1.0,0.0,1,-1.0902874980854236,
88,p11,1,0.9263,,0.0,0.0,1.0,1,-1.0902874980854236,
88,pyo,1,0.685111111,,0.0,1.0,0.0,1,-1.0902874980854236,
97,p0006,6,0.37109444433333333,0.1286155657798738,0.6666666666666666,0.3333333333333333,0.0,6,0.3930192278765499,0.6567238725298773
97,p0017,6,0.4052499998333334,0.21803895543546548,0.6666666666666666,0.16666666666666666,0.16666666666666666,6,0.3930192278765499,0.6567238725298773
97,p0017S,6,0.21363888883333335,0.05209644657218137,1.0,0.0,0.0,6,0.3930192278765499,0.6567238725298773
97,p002y,6,0.22069166666666665,0.06167680412170094,1.0,0.0,0.0,6,0.3930192278765499,0.6567238725298773
97,p003p,6,0.21378888883333333,0.06753849168158632,1.0,0.0,0.0,6,0.3930192278765499,0.6567238725298773
97,p0040,6,0.48118333333333335,0.2212204249536346,0.5,0.16666666666666666,0.3333333333333333,6,0.3930192278765499,0.6567238725298773
97,p11,6,0.6464083333333334,0.1972793683248876,0.16666666666666666,0.5,0.3333333333333333,6,0.3930192278765499,0.6567238725298773
97,pyo,6,0.28820601850000005,0.19290961770393378,0.8333333333333334,0.16666666666666666,0.0,6,0.3930192278765499,0.6567238725298773
