n,positives,negatives,tp,tn,fp,fn,sensitivity,specificity,balanced_accuracy,MCC,accuracy,positive_predictive_value,negative_predictive_value,replicate
34,10,24,7,2,22,3,0.7,0.08333333333333333,0.39166666666666666,-0.27874925905782666,0.2647058823529412,0.2413793103448276,0.4,141
27,6,21,5,2,19,1,0.8333333333333334,0.09523809523809523,0.4642857142857143,-0.0944911182523068,0.25925925925925924,0.20833333333333334,0.6666666666666666,142
24,9,15,9,2,13,0,1.0,0.13333333333333333,0.5666666666666667,0.2335496832484569,0.4583333333333333,0.4090909090909091,1.0,143
20,10,10,9,0,10,1,0.9,0.0,0.45,-0.22941573387056174,0.45,0.47368421052631576,0.0,144
22,11,11,8,0,11,3,0.7272727272727273,0.0,0.36363636363636365,-0.39735970711951313,0.36363636363636365,0.42105263157894735,0.0,145
49,10,39,9,4,35,1,0.9,0.10256410256410256,0.5012820512820513,0.0034139437099945944,0.2653061224489796,0.20454545454545456,0.8,146
15,9,6,6,0,6,3,0.6666666666666666,0.0,0.3333333333333333,-0.408248290463863,0.4,0.5,0.0,147
26,4,22,4,0,22,0,1.0,0.0,0.5,,0.15384615384615385,0.15384615384615385,,148
35,8,27,8,4,23,0,1.0,0.14814814814814814,0.5740740740740741,0.19552948669513773,0.34285714285714286,0.25806451612903225,1.0,149
30,11,19,10,2,17,1,0.9090909090909091,0.10526315789473684,0.507177033492823,0.02305714879553582,0.4,0.37037037037037035,0.6666666666666666,150
34,11,23,11,4,19,0,1.0,0.17391304347826086,0.5869565217391304,0.25252349582173333,0.4411764705882353,0.36666666666666664,1.0,151
25,10,15,7,0,15,3,0.7,0.0,0.35,-0.45226701686664544,0.28,0.3181818181818182,0.0,152
41,10,31,10,0,31,0,1.0,0.0,0.5,,0.24390243902439024,0.24390243902439024,,153
32,8,24,7,4,20,1,0.875,0.16666666666666666,0.5208333333333334,0.049690399499995326,0.34375,0.25925925925925924,0.8,154
34,8,26,6,4,22,2,0.75,0.15384615384615385,0.4519230769230769,-0.10699012312772822,0.29411764705882354,0.21428571428571427,0.6666666666666666,155
38,10,28,10,2,26,0,1.0,0.07142857142857142,0.5357142857142857,0.14085904245475275,0.3157894736842105,0.2777777777777778,1.0,156
39,12,27,9,4,23,3,0.75,0.14814814814814814,0.44907407407407407,-0.12249473587652784,0.3333333333333333,0.28125,0.5714285714285714,157
32,9,23,8,0,23,1,0.8888888888888888,0.0,0.4444444444444444,-0.28711892307136966,0.25,0.25806451612903225,0.0,158
28,7,21,7,2,19,0,1.0,0.09523809523809523,0.5476190476190477,0.16012815380508713,0.32142857142857145,0.2692307692307692,1.0,159
34,10,24,10,2,22,0,1.0,0.08333333333333333,0.5416666666666666,0.1613743060919757,0.35294117647058826,0.3125,1.0,160
27,9,18,9,2,16,0,1.0,0.1111111111111111,0.5555555555555556,0.2,0.4074074074074074,0.36,1.0,161
30,7,23,5,4,19,2,0.7142857142857143,0.17391304347826086,0.4440993788819876,-0.1182165609358651,0.3,0.20833333333333334,0.6666666666666666,162
36,8,28,8,4,24,0,1.0,0.14285714285714285,0.5714285714285714,0.1889822365046136,0.3333333333333333,0.25,1.0,163
25,11,14,11,2,12,0,1.0,0.14285714285714285,0.5714285714285714,0.2613866510869666,0.52,0.4782608695652174,1.0,164
32,10,22,8,2,20,2,0.8,0.09090909090909091,0.4454545454545455,-0.15289415743128767,0.3125,0.2857142857142857,0.5,165
18,5,13,5,2,11,0,1.0,0.15384615384615385,0.5769230769230769,0.21926450482675733,0.3888888888888889,0.3125,1.0,166
31,10,21,10,2,19,0,1.0,0.09523809523809523,0.5476190476190477,0.18122009407318745,0.3870967741935484,0.3448275862068966,1.0,167
27,9,18,8,2,16,1,0.8888888888888888,0.1111111111111111,0.5,0.0,0.37037037037037035,0.3333333333333333,0.6666666666666666,168
19,9,10,7,0,10,2,0.7777777777777778,0.0,0.3888888888888889,-0.3615507630310936,0.3684210526315789,0.4117647058823529,0.0,169
27,10,17,10,0,17,0,1.0,0.0,0.5,,0.37037037037037035,0.37037037037037035,,170
43,11,32,9,4,28,2,0.8181818181818182,0.125,0.4715909090909091,-0.07154547587901781,0.3023255813953488,0.24324324324324326,0.6666666666666666,171
43,11,32,10,6,26,1,0.9090909090909091,0.1875,0.5482954545454546,0.11415825323692887,0.37209302325581395,0.2777777777777778,0.8571428571428571,172
29,11,18,10,0,18,1,0.9090909090909091,0.0,0.45454545454545453,-0.24174688920761409,0.3448275862068966,0.35714285714285715,0.0,173
36,8,28,8,0,28,0,1.0,0.0,0.5,,0.2222222222222222,0.2222222222222222,,174
42,10,32,10,2,30,0,1.0,0.0625,0.53125,0.125,0.2857142857142857,0.25,1.0,175
34,12,22,10,4,18,2,0.8333333333333334,0.18181818181818182,0.5075757575757576,0.018993429409939658,0.4117647058823529,0.35714285714285715,0.6666666666666666,176
28,8,20,5,4,16,3,0.625,0.2,0.4125,-0.18257418583505539,0.32142857142857145,0.23809523809523808,0.5714285714285714,177
38,11,27,9,2,25,2,0.8181818181818182,0.07407407407407407,0.44612794612794615,-0.15922171574040855,0.2894736842105263,0.2647058823529412,0.5,178
